region_4,region_4,exchange_1,parameter,value
94UK,88SE,biomassTransport,capaExcResi,0
95UK,88SE,biomassTransport,capaExcResi,0
55IT,88SE,biomassTransport,capaExcResi,0
57SI,88SE,biomassTransport,capaExcResi,0
67MK,88SE,biomassTransport,capaExcResi,0
85NO,88SE,biomassTransport,capaExcResi,0
88SE,88SE,biomassTransport,capaExcResi,0
98IT,88SE,biomassTransport,capaExcResi,0
01ES,89SE,biomassTransport,capaExcResi,0
02ES,89SE,biomassTransport,capaExcResi,0
03ES,89SE,biomassTransport,capaExcResi,0
04ES,89SE,biomassTransport,capaExcResi,0
05ES,89SE,biomassTransport,capaExcResi,0
06ES,89SE,biomassTransport,capaExcResi,0
07ES,89SE,biomassTransport,capaExcResi,0
08ES,89SE,biomassTransport,capaExcResi,0
09ES,89SE,biomassTransport,capaExcResi,0
10ES,89SE,biomassTransport,capaExcResi,0
12PT,89SE,biomassTransport,capaExcResi,0
14FR,89SE,biomassTransport,capaExcResi,0
15FR,89SE,biomassTransport,capaExcResi,0
16FR,89SE,biomassTransport,capaExcResi,0
17FR,89SE,biomassTransport,capaExcResi,0
18FR,89SE,biomassTransport,capaExcResi,0
19FR,89SE,biomassTransport,capaExcResi,0
20FR,89SE,biomassTransport,capaExcResi,0
21FR,89SE,biomassTransport,capaExcResi,0
22FR,89SE,biomassTransport,capaExcResi,0
23FR,89SE,biomassTransport,capaExcResi,0
24FR,89SE,biomassTransport,capaExcResi,0
25FR,89SE,biomassTransport,capaExcResi,0
26FR,89SE,biomassTransport,capaExcResi,0
27FR,89SE,biomassTransport,capaExcResi,0
28BE,89SE,biomassTransport,capaExcResi,0
29LU,89SE,biomassTransport,capaExcResi,0
30NL,89SE,biomassTransport,capaExcResi,0
31DE,89SE,biomassTransport,capaExcResi,0
32DE,89SE,biomassTransport,capaExcResi,0
33DE,89SE,biomassTransport,capaExcResi,0
34DE,89SE,biomassTransport,capaExcResi,0
35DE,89SE,biomassTransport,capaExcResi,0
36DE,89SE,biomassTransport,capaExcResi,0
37DE,89SE,biomassTransport,capaExcResi,0
39CZ,89SE,biomassTransport,capaExcResi,0
40CZ,89SE,biomassTransport,capaExcResi,0
