timestep_3,region_1,scenario_1,technology_1,parameter,value
h0544,BE,s1989,solar,avaConv,0.0266600119686185
h0545,BE,s1989,solar,avaConv,-2.57736399113253e-6
h0546,BE,s1989,solar,avaConv,0.0
h0547,BE,s1989,solar,avaConv,0.0
h0548,BE,s1989,solar,avaConv,0.0
h0549,BE,s1989,solar,avaConv,0.0
h0550,BE,s1989,solar,avaConv,0.0
h0551,BE,s1989,solar,avaConv,0.0
h0552,BE,s1989,solar,avaConv,0.0
h0553,BE,s1989,solar,avaConv,0.0
h0554,BE,s1989,solar,avaConv,0.0
h0555,BE,s1989,solar,avaConv,0.0
h0556,BE,s1989,solar,avaConv,0.0
