timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0425,FR,s1980,electricity,dem,82.1753575018147
h0426,FR,s1980,electricity,dem,86.4460223369795
h0427,FR,s1980,electricity,dem,87.3564893699465
h0428,FR,s1980,electricity,dem,84.0538465128036
h0429,FR,s1980,electricity,dem,80.7176596996168
h0430,FR,s1980,electricity,dem,81.1084014578586
h0431,FR,s1980,electricity,dem,82.2049783809356
h0432,FR,s1980,electricity,dem,79.5231761831334
h0433,FR,s1980,electricity,dem,67.5469573474476
h0434,FR,s1980,electricity,dem,66.0575452595355
h0435,FR,s1980,electricity,dem,63.3012705342608
h0436,FR,s1980,electricity,dem,62.315605699096
h0437,FR,s1980,electricity,dem,64.1846331716234
h0438,FR,s1980,electricity,dem,68.4536826221729
h0439,FR,s1980,electricity,dem,72.9121881166784
h0440,FR,s1980,electricity,dem,74.9174078968982
h0441,FR,s1980,electricity,dem,76.067517787008
h0442,FR,s1980,electricity,dem,76.2944133914036
h0443,FR,s1980,electricity,dem,76.3729024023927
h0444,FR,s1980,electricity,dem,76.4357595452498
h0445,FR,s1980,electricity,dem,74.7063419628322
h0446,FR,s1980,electricity,dem,72.6304353694256
h0447,FR,s1980,electricity,dem,70.643594710085
h0448,FR,s1980,electricity,dem,70.0831111936015
h0449,FR,s1980,electricity,dem,72.4309243804147
h0450,FR,s1980,electricity,dem,76.7015892155795
h0451,FR,s1980,electricity,dem,77.6120562485465
h0452,FR,s1980,electricity,dem,74.3094133914036
h0453,FR,s1980,electricity,dem,70.9732265782168
h0454,FR,s1980,electricity,dem,71.3639683364586
h0455,FR,s1980,electricity,dem,72.4605452595355
h0456,FR,s1980,electricity,dem,69.7787430617334
h0457,FR,s1980,electricity,dem,61.8931834674476
h0458,FR,s1980,electricity,dem,60.4037713795355
h0459,FR,s1980,electricity,dem,57.6474966542608
h0460,FR,s1980,electricity,dem,56.661831819096
h0461,FR,s1980,electricity,dem,58.5308592916234
h0462,FR,s1980,electricity,dem,62.7999087421729
h0463,FR,s1980,electricity,dem,67.2584142366784
h0464,FR,s1980,electricity,dem,69.2636340168982
h0465,FR,s1980,electricity,dem,70.4137439070081
h0466,FR,s1980,electricity,dem,70.6406395114036
h0467,FR,s1980,electricity,dem,70.7191285223927
h0468,FR,s1980,electricity,dem,70.7819856652498
h0469,FR,s1980,electricity,dem,69.0525680828322
h0470,FR,s1980,electricity,dem,66.9766614894256
h0471,FR,s1980,electricity,dem,64.989820830085
h0472,FR,s1980,electricity,dem,64.4293373136015
h0473,FR,s1980,electricity,dem,66.7771505004147
h0474,FR,s1980,electricity,dem,71.0478153355795
h0475,FR,s1980,electricity,dem,71.9582823685465
h0476,FR,s1980,electricity,dem,68.6556395114037
h0477,FR,s1980,electricity,dem,65.3194526982168
h0478,FR,s1980,electricity,dem,65.7101944564586
h0479,FR,s1980,electricity,dem,66.8067713795356
h0480,FR,s1980,electricity,dem,64.1249691817334
h0481,FR,s1980,electricity,dem,65.0632069687476
h0482,FR,s1980,electricity,dem,63.5737948808355
h0483,FR,s1980,electricity,dem,60.8175201555608
h0484,FR,s1980,electricity,dem,59.831855320396
h0485,FR,s1980,electricity,dem,61.7008827929234
h0486,FR,s1980,electricity,dem,65.9699322434729
h0487,FR,s1980,electricity,dem,70.4284377379784
h0488,FR,s1980,electricity,dem,72.4336575181982
h0489,FR,s1980,electricity,dem,73.5837674083081
h0490,FR,s1980,electricity,dem,73.8106630127036
h0491,FR,s1980,electricity,dem,73.8891520236927
h0492,FR,s1980,electricity,dem,73.9520091665498
h0493,FR,s1980,electricity,dem,72.2225915841322
h0494,FR,s1980,electricity,dem,70.1466849907256
h0495,FR,s1980,electricity,dem,68.159844331385
h0496,FR,s1980,electricity,dem,67.5993608149015
h0497,FR,s1980,electricity,dem,69.9471740017147
h0498,FR,s1980,electricity,dem,74.2178388368795
h0499,FR,s1980,electricity,dem,75.1283058698465
h0500,FR,s1980,electricity,dem,71.8256630127037
h0501,FR,s1980,electricity,dem,68.4894761995168
h0502,FR,s1980,electricity,dem,68.8802179577586
h0503,FR,s1980,electricity,dem,69.9767948808356
h0504,FR,s1980,electricity,dem,67.2949926830334
h0505,FR,s1980,electricity,dem,63.4411711257476
h0506,FR,s1980,electricity,dem,61.9517590378355
h0507,FR,s1980,electricity,dem,59.1954843125608
h0508,FR,s1980,electricity,dem,58.209819477396
h0509,FR,s1980,electricity,dem,60.0788469499234
h0510,FR,s1980,electricity,dem,64.3478964004729
h0511,FR,s1980,electricity,dem,68.8064018949784
h0512,FR,s1980,electricity,dem,70.8116216751982
