timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0502,BE,s2016,electricity,dem,11.6256705164516
h0503,BE,s2016,electricity,dem,11.5881183186495
h0504,BE,s2016,electricity,dem,11.0110702417264
h0505,BE,s2016,electricity,dem,10.3160089309374
h0506,BE,s2016,electricity,dem,9.95304739247583
h0507,BE,s2016,electricity,dem,9.7409498650033
h0508,BE,s2016,electricity,dem,9.72317101884945
h0509,BE,s2016,electricity,dem,10.033393546322
h0510,BE,s2016,electricity,dem,10.8521778869813
h0511,BE,s2016,electricity,dem,11.5311119529154
h0512,BE,s2016,electricity,dem,11.9276421726956
h0513,BE,s2016,electricity,dem,12.1790583814868
h0514,BE,s2016,electricity,dem,12.2986133265418
h0515,BE,s2016,electricity,dem,12.412099590278
h0516,BE,s2016,electricity,dem,12.2444237661022
h0517,BE,s2016,electricity,dem,12.1517314584099
h0518,BE,s2016,electricity,dem,11.9955501397286
h0519,BE,s2016,electricity,dem,11.9484100298385
h0520,BE,s2016,electricity,dem,12.0015734913769
h0521,BE,s2016,electricity,dem,12.471529535333
h0522,BE,s2016,electricity,dem,12.6990542606077
h0523,BE,s2016,electricity,dem,12.3335913485198
h0524,BE,s2016,electricity,dem,11.8106243155527
h0525,BE,s2016,electricity,dem,11.2827630518165
h0526,BE,s2016,electricity,dem,11.3945982166516
h0527,BE,s2016,electricity,dem,11.3570460188494
h0528,BE,s2016,electricity,dem,10.7799979419264
h0529,BE,s2016,electricity,dem,8.97639992903736
h0530,BE,s2016,electricity,dem,8.61343839057583
h0531,BE,s2016,electricity,dem,8.4013408631033
h0532,BE,s2016,electricity,dem,8.38356201694945
