timestep_2,region_4,technology_3,parameter,value,source
2030,03ES,oilBoilerProLowStock,capaConvResi,0.00997,
2035,03ES,oilBoilerProLowStock,capaConvResi,0.00748,
2040,03ES,oilBoilerProLowStock,capaConvResi,0.00499,
2045,03ES,oilBoilerProLowStock,capaConvResi,0.0025,
2020,03ES,oilPlantProLowStock,capaConvResi,0.01414,
2025,03ES,oilPlantProLowStock,capaConvResi,0.01178,
2030,03ES,oilPlantProLowStock,capaConvResi,0.00943,
2035,03ES,oilPlantProLowStock,capaConvResi,0.00707,
2040,03ES,oilPlantProLowStock,capaConvResi,0.00472,
2045,03ES,oilPlantProLowStock,capaConvResi,0.00236,
2020,03ES,bioBoilerProMedStock,capaConvResi,0.00411,
2025,03ES,bioBoilerProMedStock,capaConvResi,0.00343,
2030,03ES,bioBoilerProMedStock,capaConvResi,0.00274,
2035,03ES,bioBoilerProMedStock,capaConvResi,0.00206,
2040,03ES,bioBoilerProMedStock,capaConvResi,0.00137,
2045,03ES,bioBoilerProMedStock,capaConvResi,0.00069,
2020,03ES,bioGasEngineProMedStock,capaConvResi,0.06391,
2025,03ES,bioGasEngineProMedStock,capaConvResi,0.05326,
2030,03ES,bioGasEngineProMedStock,capaConvResi,0.04261,
2035,03ES,bioGasEngineProMedStock,capaConvResi,0.03196,
2040,03ES,bioGasEngineProMedStock,capaConvResi,0.02131,
2045,03ES,bioGasEngineProMedStock,capaConvResi,0.01066,
2020,03ES,ccgtGasBackProMedStock,capaConvResi,0.00736,
2025,03ES,ccgtGasBackProMedStock,capaConvResi,0.00613,
2030,03ES,ccgtGasBackProMedStock,capaConvResi,0.00491,
2035,03ES,ccgtGasBackProMedStock,capaConvResi,0.00368,
2040,03ES,ccgtGasBackProMedStock,capaConvResi,0.00246,
2045,03ES,ccgtGasBackProMedStock,capaConvResi,0.00123,
2020,03ES,coalBoilerProMedStock,capaConvResi,0.01132,
2025,03ES,coalBoilerProMedStock,capaConvResi,0.00944,
2030,03ES,coalBoilerProMedStock,capaConvResi,0.00755,
2035,03ES,coalBoilerProMedStock,capaConvResi,0.00566,
2040,03ES,coalBoilerProMedStock,capaConvResi,0.00378,
2045,03ES,coalBoilerProMedStock,capaConvResi,0.00189,
2020,03ES,eBoilerProMed,capaConvResi,0.00912,
2025,03ES,eBoilerProMed,capaConvResi,0.0076,
2030,03ES,eBoilerProMed,capaConvResi,0.00608,
2035,03ES,eBoilerProMed,capaConvResi,0.00456,
2040,03ES,eBoilerProMed,capaConvResi,0.00304,
2045,03ES,eBoilerProMed,capaConvResi,0.00152,
2020,03ES,gasBoilerProMedStock,capaConvResi,0.09561,
2025,03ES,gasBoilerProMedStock,capaConvResi,0.07967,
2030,03ES,gasBoilerProMedStock,capaConvResi,0.06374,
2035,03ES,gasBoilerProMedStock,capaConvResi,0.04781,
2040,03ES,gasBoilerProMedStock,capaConvResi,0.03187,
2045,03ES,gasBoilerProMedStock,capaConvResi,0.01594,
2020,03ES,gasEngineProMedStock,capaConvResi,0.20604,
2025,03ES,gasEngineProMedStock,capaConvResi,0.1717,
2030,03ES,gasEngineProMedStock,capaConvResi,0.13736,
