timestep_2,carrier_1,region_3,parameter,value,comment,source
2025,industryHeat_medium,29LU,capaDem,0.133,,
2025,spaceHeat,29LU,capaDem,2.493,,
2025,industryHeat_high,30NL,capaDem,4.984,,
2025,industryHeat_low,30NL,capaDem,3.54,,
2025,industryHeat_medium,30NL,capaDem,3.317,,
2025,spaceHeat,30NL,capaDem,47.129,,
2025,industryHeat_high,31DE,capaDem,1.78,,
2025,industryHeat_low,31DE,capaDem,1.635,,
2025,industryHeat_medium,31DE,capaDem,1.791,,
2025,spaceHeat,31DE,capaDem,45.062,,
2025,industryHeat_high,32DE,capaDem,0.85,,
2025,industryHeat_low,32DE,capaDem,0.8,,
2025,industryHeat_medium,32DE,capaDem,0.808,,
2025,spaceHeat,32DE,capaDem,27.922,,
2025,industryHeat_high,33DE,capaDem,4.581,,
2025,industryHeat_low,33DE,capaDem,2.852,,
2025,industryHeat_medium,33DE,capaDem,3.052,,
2025,spaceHeat,33DE,capaDem,58.919,,
2025,industryHeat_high,34DE,capaDem,2.138,,
2025,industryHeat_low,34DE,capaDem,1.143,,
2025,industryHeat_medium,34DE,capaDem,1.36,,
2025,spaceHeat,34DE,capaDem,28.125,,
2025,industryHeat_high,35DE,capaDem,2.526,,
2025,industryHeat_low,35DE,capaDem,2.267,,
2025,industryHeat_medium,35DE,capaDem,2.15,,
2025,spaceHeat,35DE,capaDem,38.456,,
2025,industryHeat_high,36DE,capaDem,2.91,,
